original_title,adult,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count,Gross Revenue,Unnamed: 2
No Man's Land,FALSE,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}, {'id': 37, 'name': 'Western'}]",,238811,tt1456660,zh,"The film starts with a story about how two monkeys band together and cooperate to survive in the wild, which is used to illustrate how human society is formed. By casting its characters in a desolate, uninhabited no man's land, the film explores the tension between human's animal instincts and their socially constructed selves.  Pan Xiao, a young middle-class lawyer played by Xu Zheng, goes to a rural western town in the desert to handle the case of a falcon poacher who ran over and killed a policeman. Pan wins the case through sophisticated reasoning, forces the poacher to give him his car as a reward and begins to drive home. But unbeknownst to Pan, the car is carrying stolen falcons and before long he runs into a series of unlucky accidents and meets some unsavory characters. After he loses his glasses and accidentally hits another poacher (Huang Bo of Lost in Thailand), Pan is consumed by fear and guilt, and embarks on a real and metaphorical journey back to civilization.",1.33256,/ivRTXXjc89iQ6aq0p3vtf5RaXao.jpg,[],"[{'iso_3166_1': 'CN', 'name': 'China'}]",12/3/2013,0,118,"[{'iso_639_1': 'zh', 'name': '普通话'}]",Released,,No Man's Land,FALSE,6.6,17,"$1,437.00 ",
No Man's Land,FALSE,,0,[],,139637,tt0407048,en,"In this TV adaptation of the Harold Pinter classic, a seedy poet (Gielgud) shows up at the home of a rich writer (Richardson) and they start reminiscing about the ""past.""",0.818181,/wanWI3vEoVyxV6RmSMhg0bDHL0.jpg,[],[],1/1/1978,0,90,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,No Man's Land,FALSE,0,0,"$1,437.00 ",
Norman,FALSE,,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",http://www.normanthemovie.com/,50590,tt1247683,en,A teenager pretends to be dying from cancer as a way to cope with the realities of his daily existence and his father's terminal illness.,4.62403,/hxD1AZ37exyCiOm8MvZp2sewRYC.jpg,"[{'name': 'North by Northwest Entertainment', 'id': 1804}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",6/11/2010,0,97,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,The only thing he cares about is not caring.,Norman,FALSE,6,14,"$5,291.25 ",
One More Time with Feeling,FALSE,,0,"[{'id': 99, 'name': 'Documentary'}, {'id': 10402, 'name': 'Music'}]",http://www.nickcave.com/,404141,tt5777628,en,"Documents the writing, recording and performing of Nick Cave & the Bad Seeds’ sixteenth studio album, Skeleton Tree.",1.202459,/gGk8HjhRNGk7C8myxOhBCnBjZUO.jpg,"[{'name': 'JW Films', 'id': 27543}, {'name': 'Pulse Films', 'id': 57430}, {'name': 'Iconoclast', 'id': 78780}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}, {'iso_3166_1': 'FR', 'name': 'France'}]",9/8/2016,0,112,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,One More Time with Feeling,FALSE,8.4,20,$775.50 ,
Pasolini,FALSE,,0,"[{'id': 36, 'name': 'History'}, {'id': 18, 'name': 'Drama'}]",,283700,tt3125652,it,"We are with Pasolini during the last hours of his life, as he talks with his beloved family and friends, writes, gives a brutally honest interview, shares a meal with Ninetto Davoli, and cruises for the roughest rough trade in his gun-metal gray Alfa Romeo. Over the course of the action, Pasolini’s life and his art (represented by scenes from his films, his novel-in-progress Petrolio, and his projected film Porno-Teo-Kolossal) are constantly refracted and intermingled to the point where they become one.",3.238304,/ph8T7efDhm0yEPD1FOSRNzEDVe9.jpg,"[{'name': 'Tarantula', 'id': 8471}, {'name': 'Urania Pictures S.r.l.', 'id': 15130}, {'name': 'Capricci Films', 'id': 15261}]","[{'iso_3166_1': 'IT', 'name': 'Italy'}]",9/25/2014,0,87,"[{'iso_639_1': 'fr', 'name': 'Français'}, {'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'it', 'name': 'Italiano'}]",Released,A kaleidoscopic look at the last day of Italian filmmaker Pier Paolo Pasolini in 1975.,Pasolini,FALSE,5.5,35,$328.00 ,
Paterson,FALSE,,5000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",,370755,tt5247022,en,"Set in the present in Paterson, New Jersey, this is a tale about a bus driver and poet.",10.300307,/AuJ1ZlfqwuAr9H5Qr1U9KILylse.jpg,"[{'name': 'Amazon Studios', 'id': 20580}, {'name': 'K5 Film', 'id': 23437}, {'name': 'Animal Kingdom', 'id': 26995}, {'name': 'Inkjet Productions', 'id': 86041}]","[{'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'DE', 'name': 'Germany'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",11/17/2016,2152738,118,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,"If you ever left me, I'd tear my heart out and never put it back",Paterson,FALSE,7,311,"$7,162.00 ",
Persona,FALSE,,0,"[{'id': 18, 'name': 'Drama'}]",,797,tt0060827,sv,"A young nurse, Alma, is put in charge of Elisabeth Vogler: an actress who is seemingly healthy in all respects, but will not talk. As they spend time together, Alma speaks to Elisabeth constantly, never receiving any answer. Alma eventually confesses her secrets to a seemingly sympathetic Elisabeth and finds that her own personality is being submerged into Elisabeth's persona.",8.862628,/cjAnlvCrp9ZY7atASUsxRrhve7o.jpg,"[{'name': 'Svensk Filmindustri (SF)', 'id': 6181}]","[{'iso_3166_1': 'SE', 'name': 'Sweden'}]",10/18/1966,0,85,"[{'iso_639_1': 'sv', 'name': 'svenska'}]",Released,,Persona,FALSE,8,353,$694.75 ,
Pet Sematary,FALSE,"{'id': 10789, 'name': 'Pet Sematary Collection', 'poster_path': '/iySOPKFg4DgtjY9ySsJZoccMcIB.jpg', 'backdrop_path': '/vK18Xz065I4BvRB8r9IrH98ebVp.jpg'}",11500000,"[{'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}]",,8913,tt0098084,en,"Dr. Louis Creed's family moves into the country house of their dreams and discover a pet cemetery at the back of their property. The cursed burial ground deep in the woods brings the dead back to life -- with ""minor"" problems. At first, only the family's cat makes the return trip, but an accident forces a heartbroken father to contemplate the unthinkable.",8.365761,/9zUax4pjRgoPIJla9CQejqNJofB.jpg,"[{'name': 'Paramount Pictures', 'id': 4}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",4/21/1989,57469467,103,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Sometimes dead is better.,Pet Sematary,FALSE,6.4,417,$192.00 ,
Phantasm,FALSE,"{'id': 47770, 'name': 'Phantasm Collection', 'poster_path': '/xqgAkKmQRrk0UaIbWMak4RRSQm7.jpg', 'backdrop_path': '/bu33EKctcBJvN5KHR780lWQkyJd.jpg'}",300000,"[{'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}]",http://phantasm.com,9638,tt0079714,en,"A young boy and his friends face off against a mysterious grave robber known only as the Tall Man, who keeps a mysterious arsenal of terrible weapons with him.",6.609336,/59GIYULisvSYMwawbbtCnjaPMAn.jpg,"[{'name': 'AVCO Embassy Pictures', 'id': 494}, {'name': 'New Breed Productions', 'id': 22540}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",3/28/1979,11988469,89,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,"If this one doesn’t scare you, you’re already dead.",Phantasm,FALSE,6.5,166,$200.00 ,
Phantom of the Paradise,FALSE,,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 14, 'name': 'Fantasy'}, {'id': 27, 'name': 'Horror'}, {'id': 10402, 'name': 'Music'}, {'id': 53, 'name': 'Thriller'}]",,27327,tt0071994,en,"Rock Opera version of Phantom Of The Opera with elements of Faust. Record producer Swan steals both the music and the girl (Phoenix) from composer Leach. Disfigured Leach plans revenge on Swan and his rock palace, The Paradise, and becomes The Phantom. Leach signs contract with Swan to complete rock opera based on the life of Faust for Phoenix. Double crossed by Swan who hires heavy metal singer Beef, Leach exacts his vengeance.",6.469438,/btqFBntYQ88RXfE2eUAWayeWufm.jpg,"[{'name': 'Twentieth Century Fox Film Corporation', 'id': 306}, {'name': 'Harbor Productions', 'id': 3302}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",10/31/1974,0,92,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,The Most Highly Acclaimed Horror Phantasy Of Our Time.,Phantom of the Paradise,FALSE,7.5,101,$528.00 ,
Possession,FALSE,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}]",,21484,tt0082933,fr,"A young woman left her family for an unspecified reason. The husband determines to find out the truth and starts following his wife. At first, he suspects that a man is involved. But gradually, he finds out more and more strange behaviors and bizarre incidents that indicate something more than a possessed love affair.",10.505671,/lkXmD45Rte2buZ3si2rbBf8BEDj.jpg,"[{'name': 'Gaumont', 'id': 9}, {'name': 'Oliane Productions', 'id': 1060}, {'name': 'Marianne Productions', 'id': 1497}]","[{'iso_3166_1': 'DE', 'name': 'Germany'}, {'iso_3166_1': 'FR', 'name': 'France'}]",5/27/1981,0,123,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}, {'iso_639_1': 'de', 'name': 'Deutsch'}]",Released,Murder. Evil. Infidelity. Madness.,Possession,FALSE,6.9,153,$600.00 ,
Possession,FALSE,,25000000,"[{'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 10749, 'name': 'Romance'}]",,30072,tt0256276,en,"Maud Bailey, a brilliant English academic, is researching the life and work of poet Christabel La Motte. Roland Michell is an American scholar in London to study Randolph Henry Ash, now best-known for a collection of poems dedicated to his wife. When Maud and Roland discover a cache of love letters that appear to be from Ash to La Motte, they follow a trail of clues across England, echoing the journey of the couple over a century earlier.",4.439325,/yxiWcPQVG154j5bfQVs2xRbPjJ.jpg,"[{'name': 'Warner Bros. Pictures', 'id': 174}, {'name': 'Focus Features', 'id': 10146}, {'name': 'Baltimore Spring Creek Productions', 'id': 16061}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",10/2/2002,10113733,102,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,The past will connect them. The passion will possess them.,Possession,FALSE,6.5,54,$600.00 ,
Possession,FALSE,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 10749, 'name': 'Romance'}]",http://www.possessionmovie.com/,33788,tt0368563,en,"A woman's life is thrown into chaos after a freak car accident sends her husband and brother-in-law into comas. Thrills arrive after the brother-in-law wakes up, thinking he's his brother.",6.253597,/6E8M82rrOeWXZzWcXiPp7B04N9k.jpg,"[{'name': 'Vertigo Entertainment', 'id': 829}, {'name': 'Yari Film Group', 'id': 2448}, {'name': 'Spitfire Pictures', 'id': 14739}, {'name': 'Addicted Productions', 'id': 22636}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",7/16/2009,0,86,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,What if the person you loved became someone else?,Possession,FALSE,5.2,35,$600.00 ,
Prom Night,FALSE,"{'id': 123255, 'name': 'Prom Night Collection', 'poster_path': '/tHhPnpJad4RVICIwaeERIq63ARg.jpg', 'backdrop_path': None}",1000000,"[{'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",,36599,tt0081383,en,"This slasher movie follows a relentless killer who is out to avenge the death of a young girl who died after being bullied and teased by four of her classmates. Now high-school students, the guilt-ridden kids have kept their involvement a secret, but when they start being murdered, one by one, it's clear that someone knows the truth. Also coping with the past are members of the dead girl's family, most notably her prom-queen sister, Kim Hammond (Jamie Lee Curtis).",3.65867,/3KIy1qFmdLMwUrSlRAiovX5anhR.jpg,"[{'name': 'Guardian Trust Company', 'id': 542}, {'name': 'Simcom Limited', 'id': 15059}, {'name': 'Prom Night Productions', 'id': 15060}]","[{'iso_3166_1': 'CA', 'name': 'Canada'}]",7/18/1980,14796236,92,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,If you're not back by midnight... you won't be coming home!,Prom Night,FALSE,6,85,$120.00 ,
Prom Night,FALSE,"{'id': 123255, 'name': 'Prom Night Collection', 'poster_path': '/tHhPnpJad4RVICIwaeERIq63ARg.jpg', 'backdrop_path': None}",0,"[{'id': 80, 'name': 'Crime'}, {'id': 27, 'name': 'Horror'}]",http://www.sonypictures.com/movies/promnight/,8617,tt0926129,en,"Donna's senior prom is supposed to be the best night of her life, though a sadistic killer from her past has different plans for her and her friends.",7.18216,/uNBnpeaxPUcOtaevIjQMG6Ne3mZ.jpg,"[{'name': 'Alliance Films', 'id': 2514}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",4/10/2008,14796236,88,"[{'iso_639_1': 'it', 'name': 'Italiano'}, {'iso_639_1': 'en', 'name': 'English'}]",Released,A Night To Die For.,Prom Night,FALSE,4.8,170,$120.00 ,
Punch-Drunk Love,FALSE,,25000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",,8051,tt0272338,en,A beleaguered small-business owner gets a harmonium and embarks on a romantic journey with a mysterious woman.,6.753969,/k4pekJKEdaV2fv4S89A8GCV7u7Y.jpg,"[{'name': 'Columbia Pictures', 'id': 5}, {'name': 'New Line Cinema', 'id': 12}, {'name': 'Ghoulardi Film Company', 'id': 178}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",10/25/2002,17000000,95,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Punch-Drunk Love,FALSE,6.9,542,$200.00 ,
Revenge,FALSE,,0,"[{'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 80, 'name': 'Crime'}]",,14249,tt0100485,en,"Michael ‘Jay’ Cochran has just left the Navy after 12 years and he's not quite sure what he's going to do, except that he knows he wants a holiday. He decides to visit Tiburon Mendez, a powerful but shady Mexican businessman who he once flew to Alaska for a hunting trip. Arriving at the Mendez mansion in Mexico, he is immediately surprised by the beauty and youth of Mendez’s wife, Miryea.",7.429491,/j0dnMRoeYZ5KoIymS9qVHdgo8xX.jpg,"[{'name': 'Columbia Pictures', 'id': 5}, {'name': 'New World Pictures', 'id': 1950}]","[{'iso_3166_1': 'MX', 'name': 'Mexico'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2/16/1990,15645616,123,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'es', 'name': 'Español'}]",Released,A passion that cannot be denied. A betrayal that cannot be forgiven.,Revenge,FALSE,6,89,$465.25 ,
Robot & Frank,FALSE,,2500000,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",http://robotandfrank-film.com/,84329,tt1990314,en,"A delightful dramatic comedy, a buddy picture, and, for good measure, a heist film. Curmudgeonly old Frank lives by himself. His routine involves daily visits to his local library, where he has a twinkle in his eye for the librarian. His grown children are concerned about their father’s well-being and buy him a caretaker robot. Initially resistant to the idea, Frank soon appreciates the benefits of robotic support – like nutritious meals and a clean house – and eventually begins to treat his robot like a true companion. With his robot’s assistance, Frank’s passion for his old, unlawful profession is reignited, for better or worse.",9.291494,/euOI0iOczBCEQgPhToZcvQ2eIj7.jpg,"[{'name': 'Samuel Goldwyn Films', 'id': 9118}, {'name': 'Stage 6 Films', 'id': 11341}, {'name': 'Park Pictures', 'id': 13466}, {'name': 'TBB', 'id': 13467}, {'name': 'Dog Run Pictures', 'id': 13468}, {'name': 'White Hat', 'id': 13469}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",8/16/2012,3325038,85,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Friendship doesn't have an off switch,Robot & Frank,FALSE,6.8,454,$222.50 ,
Rollerball,FALSE,,0,"[{'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",,11535,tt0246894,en,"From the director of Die Hard comes this high-octane thriller that roars along at a breakneck pace (Los Angeles Times)! Starring Chris Klein (American Pie), Jean Reno (Ronin), LL Cool J (Charlie's Angels) and Rebecca Romijn-Stamos (X-Men), Rollerball goes full-throttle with excitement from its death-defying opening until its explosive end! Jonathan Cross (Klein) is the newest recruit in the most extreme sport of all time where his fast moves and killer looks make him an instant superstar. But Cross life in the fast lane collides with reality when he learns that the league's owner (Reno) is orchestrating serious on-court accidents to boost ratings. Now Cross plans to take down the owner and his ruthless sport before the game puts an end to him!",9.347077,/5Wquo3EjfDpK7S1BHcybuC3TZDO.jpg,"[{'name': 'Atlas Entertainment', 'id': 507}, {'name': 'Toho-Towa', 'id': 657}, {'name': 'Mosaic Media Group', 'id': 748}, {'name': 'Yorktown Productions', 'id': 1484}, {'name': 'Helkon Media AG', 'id': 2216}, {'name': 'Metro-Goldwyn-Mayer (MGM)', 'id': 8411}]","[{'iso_3166_1': 'DE', 'name': 'Germany'}, {'iso_3166_1': 'JP', 'name': 'Japan'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2/8/2002,0,98,"[{'iso_639_1': 'de', 'name': 'Deutsch'}, {'iso_639_1': 'fr', 'name': 'Français'}, {'iso_639_1': 'ja', 'name': '日本語'}, {'iso_639_1': 'ko', 'name': '한국어/조선말'}, {'iso_639_1': 'ru', 'name': 'Pусский'}, {'iso_639_1': 'ar', 'name': 'العربية'}, {'iso_639_1': 'en', 'name': 'English'}]",Released,Go Ballistic,Rollerball,FALSE,3.4,106,$104.00 ,
Rollerball,FALSE,,0,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]",,11484,tt0073631,en,"In a corporate-controlled future, an ultra-violent sport known as Rollerball represents the world, and one of its powerful athletes is out to defy those who want him out of the game.",6.680938,/ilPJofDdyoKC1hJG7sdykLBUKZc.jpg,"[{'name': 'Algonquin', 'id': 8772}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",6/25/1975,30000000,125,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,"In the not-too-distant future, wars will no longer exist. But there WILL be...The Game",Rollerball,FALSE,6,115,$104.00 ,
Roma,FALSE,,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",,11035,tt0069191,it,"A virtually plotless, gaudy, impressionistic portrait of Rome through the eyes of one of its most famous citizens.",2.46757,/rqK75R3tTz2iWU0AQ6tLz3KMOU1.jpg,"[{'name': 'Les Productions Artistes Associés', 'id': 64}, {'name': 'Ultra Film', 'id': 11994}]","[{'iso_3166_1': 'IT', 'name': 'Italy'}]",3/15/1972,0,128,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}, {'iso_639_1': 'it', 'name': 'Italiano'}]",Released,The fall of the Roman Empire 1931-1972.,Roma,FALSE,6.6,45,"$4,130.75 ",
Roma,FALSE,,2763806,"[{'id': 18, 'name': 'Drama'}, {'id': 10769, 'name': 'Foreign'}]",,43432,tt0383862,es,"Joaquín Góñez, a novelist in his sixties recalls his emotions, his wild years in Buenos Aires, the memories of old friends, the meaning of loyalty and the intimate relationship with his mother, Roma.",0.420613,/ap99aZPCkTqwguKsy3y6QVXyKeg.jpg,"[{'name': 'Aristarain P.C.', 'id': 18549}, {'name': 'Estudios Flomenbaun Abogados', 'id': 18552}]","[{'iso_3166_1': 'ES', 'name': 'Spain'}, {'iso_3166_1': 'AR', 'name': 'Argentina'}]",4/15/2004,0,148,"[{'iso_639_1': 'es', 'name': 'Español'}]",Released,,Roma,FALSE,6,4,"$4,130.75 ",
Rosa Chumbe,FALSE,,0,"[{'id': 18, 'name': 'Drama'}]",,407575,tt3733098,es,"Rosa is a mature police officer with both a gambling and a drinking problem. She lives with her daughter Sheila, who has a little baby. One day, after a big fight between them, Sheila steals her mother's savings and storms out of the house leaving her baby behind. Rosa is forced to spend some time with her grandson. Something changes inside her heart of stone. However, everything takes a wrong turn one night. Only a miracle can save her.",0.025207,/whZf5IJyb5xIUdrPSafabpFOP3X.jpg,"[{'name': 'Yin Zhang Films', 'id': 95386}]","[{'iso_3166_1': 'PE', 'name': 'Peru'}]",8/8/2015,0,75,"[{'iso_639_1': 'es', 'name': 'Español'}]",Released,,Rosa Chumbe,FALSE,0,0,$266.50 ,
Rosemary's Baby,FALSE,"{'id': 264338, 'name': ""Rosemary's Baby Collection"", 'poster_path': '/yP9DnKsSGcEuHJktQYotND6dsgJ.jpg', 'backdrop_path': '/36RmiFNEbyfTOF3GG17rOyv4XGD.jpg'}",3200000,"[{'id': 27, 'name': 'Horror'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}]",,805,tt0063522,en,A young couple moves into an infamous New York apartment building to start a family. Things become frightening as Rosemary begins to suspect her unborn baby isn't safe around their strange neighbors.,11.504558,/kqA1pt9ovovArgJZi2Lu4Unf6He.jpg,"[{'name': 'Paramount Pictures', 'id': 4}, {'name': 'William Castle Productions', 'id': 10324}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",6/12/1968,33395426,136,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Pray for Rosemary's Baby,Rosemary's Baby,FALSE,7.5,892,$960.00 ,
Rosemary's Baby,FALSE,,0,"[{'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}]",,267795,tt3087752,en,Modern 3 hour mini-series adaptation of the classic novel by Ira Levin focusing on young Rosemary Woodhouse's suspicions that her neighbors may belong to a Satanic cult who are hell bent on getting one thing: the baby she is carrying.,3.578894,/cs84Ey5BTrC94jonSFxD5E21z53.jpg,"[{'name': 'Liaison Films', 'id': 20449}, {'name': 'Lionsgate Television', 'id': 28523}, {'name': 'KippSter Entertainment', 'id': 30115}, {'name': 'City Entertainment', 'id': 30116}, {'name': 'Federation Entertainment', 'id': 51866}]","[{'iso_3166_1': 'CA', 'name': 'Canada'}, {'iso_3166_1': 'US', 'name': 'United States of America'}, {'iso_3166_1': 'FR', 'name': 'France'}]",9/18/2014,0,168,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}]",Released,Fear is born.,Rosemary's Baby,FALSE,6.1,64,$960.00 ,
Rubber,FALSE,,500000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}, {'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}]",http://www.rubberfilm.com/,45649,tt1612774,en,"In the California desert, the adventures of a telepathic killer-tire, mysteriously attracted by a very pretty girl, as witnessed by incredulous onlookers.",5.305905,/6zaq4lSe4SLUxeSMkjk29CBmqrD.jpg,"[{'name': 'Canal+', 'id': 5358}, {'name': 'Backup Films', 'id': 5381}, {'name': 'Arte France', 'id': 6111}, {'name': 'Arte France Cinéma', 'id': 6916}, {'name': 'Elle Driver', 'id': 6930}, {'name': '1.85 Films', 'id': 12856}, {'name': 'Realitism Films', 'id': 20856}, {'name': 'Sindika Dokolo', 'id': 23002}]","[{'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'AO', 'name': 'Angola'}]",7/9/2010,98017,85,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Are you TIRED of the expected?,Rubber,FALSE,5.7,252,$448.00 ,
Scarlet Diva,FALSE,,0,"[{'id': 18, 'name': 'Drama'}]",,23990,tt0218581,it,"A young Italian actress embarks on a self-destructive spree of sex, drugs and other excess while doing some soul searching to find the path for redemption.",2.065757,/ySLCXC0Ai11ZHYumsaoR5heLhkk.jpg,"[{'name': 'Opera Film Produzione', 'id': 1549}]","[{'iso_3166_1': 'IT', 'name': 'Italy'}]",5/26/2000,0,91,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}, {'iso_639_1': 'it', 'name': 'Italiano'}]",Released,,Scarlet Diva,FALSE,5,11,$48.00 ,
Selma,FALSE,,20000000,"[{'id': 36, 'name': 'History'}, {'id': 18, 'name': 'Drama'}]",,273895,tt1020072,en,"""Selma,"" as in Alabama, the place where segregation in the South was at its worst, leading to a march that ended in violence, forcing a famous statement by President Lyndon B. Johnson that ultimately led to the signing of the Civil Rights Act.",7.107071,/xj1H3dpEHhouyJNB1lfpkKf9fXX.jpg,"[{'name': 'Plan B Entertainment', 'id': 81}, {'name': 'Harpo Films', 'id': 3298}, {'name': 'Celador Films', 'id': 3573}, {'name': 'Cloud Eight Films', 'id': 6708}, {'name': 'Pathé', 'id': 7981}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",12/25/2014,66787908,127,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,One dream can change the world.,Selma,FALSE,7.4,835,$143.25 ,
Shadow,FALSE,,0,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",http://www.shadowfilm.net/,37813,tt1425253,en,"A Young soldier returning from Iraq goes on a high mountain adventure in a desolate place in Europe to forget his past, he will lear truth in a mysterious local legend discovering that reality can be sicker than nightmares.",2.949394,/s4A3iOH3Ft8O6qjDxtvq6Pz4Vde.jpg,"[{'name': 'Blu Cinematografica', 'id': 12665}]","[{'iso_3166_1': 'IT', 'name': 'Italy'}]",5/14/2010,0,77,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'de', 'name': 'Deutsch'}]",Released,Reality Can Be Sicker Than Nightmares,Shadow,FALSE,5.5,21,$910.50 ,
Silence,FALSE,,46000000,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",http://www.silencemovie.com/,68730,tt0490215,en,"Two Jesuit priests travel to seventeenth century Japan which has, under the Tokugawa shogunate, banned Catholicism and almost all foreign contact.",14.16938,/sHM6i6se7mwKGRDvW4nQC7dkeKI.jpg,"[{'name': 'CatchPlay', 'id': 8870}, {'name': 'Waypoint Entertainment', 'id': 22842}, {'name': 'Cappa Defina Productions', 'id': 23033}, {'name': 'Sikelia Productions', 'id': 23243}, {'name': 'Fábrica de Cine', 'id': 54537}, {'name': 'Emmett Furla Oasis Films (EFO Films)', 'id': 73685}, {'name': 'SharpSword Films', 'id': 86060}]","[{'iso_3166_1': 'MX', 'name': 'Mexico'}, {'iso_3166_1': 'TW', 'name': 'Taiwan'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",12/22/2016,23737523,161,"[{'iso_639_1': 'ja', 'name': '日本語'}, {'iso_639_1': 'en', 'name': 'English'}]",Released,Sometimes silence is the deadliest sound,Silence,FALSE,7,754,$25.75 ,
Solaris,FALSE,,47000000,"[{'id': 18, 'name': 'Drama'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 9648, 'name': 'Mystery'}, {'id': 10749, 'name': 'Romance'}]",,2103,tt0307479,en,"Upon arrival at the space station orbiting an ocean world called Solaris a psychologist discovers that the commander of an expedition to the planet has died mysteriously. Other strange events soon start happening as well, such as the appearance of old acquaintances of the crew, including some who are dead.",10.642824,/8TTniVKEjUWs3DnAMEWMXP6V1ct.jpg,"[{'name': 'Twentieth Century Fox Film Corporation', 'id': 306}, {'name': 'Lightstorm Entertainment', 'id': 574}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",11/27/2002,30002758,99,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,How far will you go for a second chance?,Solaris,FALSE,5.9,378,"$1,340.00 ",
