,ID,Actors,Awards,BoxOffice,Country,DVD,Director,Genre,Language,Metascore,Plot,Poster,Production,Rated,Ratings,Released,Response,Runtime,Title,Type,Website,Writer,Year,imdbID,imdbRating,imdbVotes,totalSeasons,BoxOfficeNew
493,0,"Casey Affleck, Ben O'Brien, Kyle Chandler, Richard Donelly",Won 2 Oscars. Another 117 wins & 243 nominations.,"$47,695,120 ",USA,21-Feb-17,Kenneth Lonergan,Drama,English,96,A depressed uncle is asked to take care of his teenage nephew after the boy's father dies.,https://m.media-amazon.com/images/M/MV5BMTYxMjk0NDg4Ml5BMl5BanBnXkFtZTgwODcyNjA5OTE@._V1_SX300.jpg,Roadside Attractions ,R,"{'Source': 'Internet Movie Database', 'Value': '7.8/10'}",16-Dec-16,TRUE,137 min,Manchester by the Sea,movie,http://manchesterbytheseathemovie.com/,Kenneth Lonergan,2016,tt4034228,7.8,"218,755",,47695371
496,0,"Nicolas Cage, Andrea Riseborough, Linus Roache, Ned Dennehy",,,"USA, Belgium, UK",30-Oct-18,Panos Cosmatos,"Action, Fantasy, Horror, Mystery, Thriller",English,81,"The enchanted lives of a couple in a secluded forest are brutally shattered by a nightmarish hippie cult and their demon-biker henchmen, propelling a man into a spiraling, surreal rampage of vengeance.",https://m.media-amazon.com/images/M/MV5BMjk1MjhmZWQtNzU3OC00NDE4LThlODQtNTdhZGM4M2E3MWZkXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,RLJE Films,Not Rated,"{'Source': 'Internet Movie Database', 'Value': '6.6/10'}",14-Sep-18,TRUE,121 min,Mandy,movie,,"Panos Cosmatos, Aaron Stewart-Ahn, Panos Cosmatos (story by), Chris 'Casper' Kelly (Cheddar Goblin ad)",2018,tt6998518,6.6,"47,156",,1214525
499,0,"Fanny Ardant, Joyce DiDonato, Maria Callas, Aristotle Onassis",,,France,12-Feb-19,Tom Volf,"Documentary, Biography, Music","English, French, Italian",71,"An intimate look at the life and work of Greek-American opera singer Maria Callas, as told in her own words.",https://m.media-amazon.com/images/M/MV5BNDQxODc2MGUtY2FkZi00NzdiLWI2MTEtZGMxNDA0OWJlMWIxXkEyXkFqcGdeQXVyODcyODY1Mzg@._V1_SX300.jpg,,PG,"{'Source': 'Internet Movie Database', 'Value': '7.1/10'}",2-Nov-18,TRUE,119 min,Maria by Callas,movie,,,2017,tt7364566,7.1,"1,073",,1267301
502,0,"Stephanie Andujar, Hana Colley, Geena Davis, Hannah Gross",2 wins & 6 nominations.,"$174,051 ",USA,10-Oct-17,Michael Almereyda,"Drama, Mystery, Romance, Sci-Fi",English,82,A service that provides holographic recreations of deceased loved ones allows a woman to come face-to-face with the younger version of her late husband.,https://m.media-amazon.com/images/M/MV5BMzU2NDI1NTEwNF5BMl5BanBnXkFtZTgwMjEwNTIwMzI@._V1_SX300.jpg,FilmRise,,"{'Source': 'Internet Movie Database', 'Value': '6.3/10'}",19-Oct-17,TRUE,99 min,Marjorie Prime,movie,http://www.marjorieprimethemovie.com/,"Michael Almereyda (written for the screen by), Jordan Harrison (based on the play by)",2017,tt4978710,6.3,"4,846",,180608
505,0,"Marsha Timothy, Egy Fedly, Tumpal Tampubolon, Yoga Pratama",1 win & 2 nominations.,,"Indonesia, France, Malaysia, Thailand",,Mouly Surya,"Drama, Thriller",Indonesian,77,"Marlina lives quietly in Sumba until one day a man named Markus and his gang try to rob her house and she kills him. Eventually, she is haunted by Markus, and her life turns in 180 degrees.",https://m.media-amazon.com/images/M/MV5BZTgzNWUyMDUtOTlhZi00NzE5LWI5YTAtZjcxMDQ5YzE5N2ZmXkEyXkFqcGdeQXVyMzY3MDU4NDk@._V1_SX300.jpg,Icarus Films,,"{'Source': 'Internet Movie Database', 'Value': '7.1/10'}",16-Nov-17,TRUE,93 min,Marlina the Murderer in Four Acts,movie,http://www.kimstim.com/marlina.html,"Rama Adi, Garin Nugroho, Mouly Surya",2017,tt5923026,7.1,"1,801",,17788
508,0,"Hana Sugisaki, Ryûnosuke Kamiki, Yûki Amami, Fumiyo Kohinata",4 nominations.,,Japan,,"Hiromasa Yonebayashi, Giles New","Animation, Adventure, Family, Fantasy",Japanese,75,"Based on ""The Little Broomstick"" by Mary Stewart, a strange flower grants a girl magic powers.",https://m.media-amazon.com/images/M/MV5BNDVkYmFiNmQtMjc3Ni00YTY5LTk0NTAtZDc4YjZiZjU2YjNlXkEyXkFqcGdeQXVyMjM4NTM5NDY@._V1_SX300.jpg,,PG,"{'Source': 'Internet Movie Database', 'Value': '6.8/10'}",8-Jul-17,TRUE,103 min,Mary and the Witch's Flower,movie,,"Mary Stewart (based on the novel ""The Little Broomstick"" by), Riko Sakaguchi (screenplay by), Hiromasa Yonebayashi (screenplay by), David Freedman (English adaptation), Lynda Freedman (English adaptation)",2017,tt6336356,6.8,"9,153",,2418404
510,0,"Rooney Mara, Joaquin Phoenix, Chiwetel Ejiofor, Tahar Rahim",,,"UK, Australia, USA",19-Apr-19,Garth Davis,Drama,"English, Hebrew",48,The story of Mary Magdalene.,https://m.media-amazon.com/images/M/MV5BYTVjYmUxZDQtMDU0ZC00MzU0LWIwOTYtYjM1NjFiZmE1ZDBlXkEyXkFqcGdeQXVyODY3Nzc0OTk@._V1_SX300.jpg,IFC Films,R,"{'Source': 'Internet Movie Database', 'Value': '5.8/10'}",16-Mar-18,TRUE,120 min,Mary Magdalene,movie,,"Helen Edmundson, Philippa Goslett",2018,tt5360996,5.8,"6,191",,124741
513,0,"Angela Bain, Richard Cant, Guy Rhys, Thom Petty",,,"UK, USA",,Josie Rourke,"Biography, Drama, History","English, French, Scottish Gaelic, Latin",60,"Mary Stuart's attempt to overthrow her cousin Elizabeth I, Queen of England, finds her condemned to years of imprisonment before facing execution.",https://m.media-amazon.com/images/M/MV5BNDVmOGI4MTMtYmNmNC00MTliLTlkYjQtYmU2N2EyNDk2YTAwXkEyXkFqcGdeQXVyMjM4NTM5NDY@._V1_SX300.jpg,Metrodome,R,"{'Source': 'Internet Movie Database', 'Value': '6.3/10'}",21-Dec-18,TRUE,124 min,Mary Queen of Scots,movie,http://www.maryqueenofscots-movie.com/,"Beau Willimon (screenplay by), John Guy (based on the book ""Queen of Scots: The True Life of Mary Stuart"" by)",2018,tt2328900,6.3,"26,433",,16468499
515,0,"Emilio Estevez, Pat Hingle, Laura Harrington, Yeardley Smith",3 nominations.,,USA,10-Apr-01,Stephen King,"Action, Comedy, Horror, Sci-Fi",English,24,A group of people try to survive when machines start to come alive and become homicidal.,https://m.media-amazon.com/images/M/MV5BYzUwOWQxNjAtMzU4MC00M2IwLWEyNzgtNGRlMjE4Y2VlYThiXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Lorimar Home Video,R,"{'Source': 'Internet Movie Database', 'Value': '5.5/10'}",25-Jul-86,TRUE,98 min,Maximum Overdrive,movie,,"Stephen King (film by), Stephen King (written for the screen by)",1986,tt0091499,5.5,"27,995",,7433663
518,0,"Ian McKellen, Scott Chambers, Luke Evans, Milo Parker",,,UK,,Joe Stephenson,"Documentary, Biography",English,68,Feature documentary on the life and work of Sir Ian McKellen.,https://m.media-amazon.com/images/M/MV5BNDE2YWNlNDktYThkMy00ZTdmLTg5NjEtMjg1ZWJmMTUzNzI1XkEyXkFqcGdeQXVyMTk1MTUyMDA@._V1_SX300.jpg,Independent Film Company,TV-PG,"{'Source': 'Internet Movie Database', 'Value': '7.4/10'}",1-Jun-18,TRUE,92 min,McKellen: Playing the Part,movie,,,2017,tt6127326,7.4,236,,
521,0,"Yuri Andropov, James Baker, Leonid Brezhnev, Konstantin Chernenko",,,"UK, Germany, USA",,"Werner Herzog, André Singer",Documentary,"English, Russian, German, Polish",73,"The life of Mikhail Gorbachev, the eighth and final President of the Soviet Union in chronological order.",https://m.media-amazon.com/images/M/MV5BODk1YTNkMjAtNTI1NS00NDllLTkwZTEtMmVkNWMwOGU1YjMzXkEyXkFqcGdeQXVyMTAxMzE2OTg2._V1_SX300.jpg,,Not Rated,"{'Source': 'Internet Movie Database', 'Value': '7.2/10'}",3-May-19,TRUE,90 min,Meeting Gorbachev,movie,,Werner Herzog,2018,tt8811382,7.2,391,,251837
523,0,"Menashe Lustig, Yoel Falkowitz, Hershy Fishman, Ruben Niborski",4 wins & 15 nominations.,"$1,688,620 ",USA,,Joshua Z Weinstein,Drama,"Yiddish, English, Spanish",81,"Within Brooklyn's ultra-orthodox Jewish community, a widower battles for custody of his son. A tender drama performed entirely in Yiddish, the film intimately explores the nature of faith and the price of parenthood.",https://m.media-amazon.com/images/M/MV5BZjQxYTc1MGEtNzhhOS00YWJmLWJlOWUtZWJlZjA5Yzk4NDA0XkEyXkFqcGdeQXVyNTAzMTY4MDA@._V1_SX300.jpg,A24 Films,PG,"{'Source': 'Internet Movie Database', 'Value': '6.5/10'}",28-Jul-17,TRUE,82 min,Menashe,movie,http://menashemovie.com/,"Alex Lipschultz, Musa Syeed, Joshua Z Weinstein",2017,tt6333086,6.5,"1,538",,1703036
526,0,,4 wins & 2 nominations.,,Mexico,,Lucía Gajá,Documentary,"English, Spanish",,"Teenage immigrant, Rosa Jimenez, is accused of committing murder in a Texas.",https://m.media-amazon.com/images/M/MV5BMTg2NTQ0Mzg3MF5BMl5BanBnXkFtZTcwODgxMjY4MQ@@._V1_SX300.jpg,,,"{'Source': 'Internet Movie Database', 'Value': '8.5/10'}",16-Jan-09,TRUE,120 min,Mi vida dentro,movie,,Lucía Gajá,2007,tt0479713,8.5,90,,
527,0,"Margherita Buy, John Turturro, Giulia Lazzarini, Nanni Moretti",11 wins & 23 nominations.,,"Italy, France, Germany",,Nanni Moretti,Drama,"Italian, English, French",70,"Margherita, a director in the middle of an existential crisis, has to deal with the inevitable and still unacceptable loss of her mother.",https://m.media-amazon.com/images/M/MV5BMTU5OTM2MDQxNV5BMl5BanBnXkFtZTgwMTg3OTY2OTE@._V1_SX300.jpg,,R,"{'Source': 'Internet Movie Database', 'Value': '6.8/10'}",26-Aug-16,TRUE,106 min,Mia Madre,movie,,"Nanni Moretti (story), Valia Santella (story), Gaia Manzini (story), Chiara Valerio (story), Nanni Moretti (screenplay), Francesco Piccolo (screenplay), Valia Santella (screenplay)",2015,tt3013610,6.8,"6,288",,303002
529,0,"Florence Pugh, Jack Reynor, Vilhelm Blomgren, William Jackson Harper",,,"USA, Sweden",,Ari Aster,"Drama, Horror, Mystery, Thriller","English, Swedish",72,A couple travels to Sweden to visit a rural hometown's fabled mid-summer festival. What begins as an idyllic retreat quickly devolves into an increasingly violent and bizarre competition at the hands of a pagan cult.,https://m.media-amazon.com/images/M/MV5BMzQxNzQzOTQwM15BMl5BanBnXkFtZTgwMDQ2NTcwODM@._V1_SX300.jpg,A24,R,"{'Source': 'Internet Movie Database', 'Value': '7.6/10'}",3-Jul-19,TRUE,147 min,Midsommar,movie,https://www.facebook.com/MidsommarMovie/,Ari Aster,2019,tt8772262,7.6,"34,020",,27426361
532,0,"Keire Johnson, Bing Liu, Zack Mulligan",1 nomination.,,USA,17-Aug-18,Bing Liu,Documentary,English,90,"Three young men bond together to escape volatile families in their Rust-Belt hometown. As they face adult responsibilities, unexpected revelations threaten their decade-long friendship.",https://m.media-amazon.com/images/M/MV5BMTA0MDk4MzMwOTBeQTJeQWpwZ15BbWU4MDE3MzYxOTUz._V1_SX300.jpg,Hulu,Not Rated,"{'Source': 'Internet Movie Database', 'Value': '8.1/10'}",17-Aug-18,TRUE,93 min,Minding the Gap,movie,,,2018,tt7476236,8.1,"5,449",,11998
535,0,"Rebecca Hall, Daniel Dae Kim, John Cho, Crispin Freeman",,,Japan,9-Apr-19,Mamoru Hosoda,"Animation, Adventure, Drama, Family, Fantasy","Japanese, English",81,"A young boy encounters a magical garden which enables him to travel through time and meet his relatives from different eras, with guidance by his younger sister from the future.",https://m.media-amazon.com/images/M/MV5BZjc4NGJiOWUtOWNjOS00M2QzLWFlMmMtMTU3ODMzNWU5ODk4XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,GKIDS,PG,"{'Source': 'Internet Movie Database', 'Value': '7.0/10'}",20-Jul-18,TRUE,98 min,Mirai,movie,http://www.miraimovie.com,Mamoru Hosoda,2018,tt6900448,7,"7,988",,812794
538,0,"Sharon Jones, Starr Duncan-Lowe, Binky Griptite, Megan Holken",8 wins & 11 nominations.,"$120,770 ",USA,,Barbara Kopple,"Documentary, Music",English,77,"Miss Sharon Jones: Dreams never expire but sometimes they are deferred. Miss Sharon Jones follows the talented and gregarious soul singer of the Grammy nominated R&B band ""Sharon Jones and ...",https://m.media-amazon.com/images/M/MV5BOTYwMzEzMTk3MV5BMl5BanBnXkFtZTgwODA3MzEzOTE@._V1_SX300.jpg,Cabin Creek Films,Unrated,"{'Source': 'Internet Movie Database', 'Value': '7.2/10'}",29-Jul-16,TRUE,93 min,Miss Sharon Jones!,movie,,,2015,tt4935480,7.2,502,,
541,0,"Denzel Washington, Sarita Choudhury, Roshan Seth, Sharmila Tagore",5 wins & 2 nominations.,,"UK, USA",27-May-03,Mira Nair,"Drama, Romance",English,,"An Indian family is expelled from Uganda when Idi Amin takes power. They move to Mississippi and time passes. The Indian daughter falls in love with a black man, and the respective families...",https://m.media-amazon.com/images/M/MV5BMTI4MTEwNjczOV5BMl5BanBnXkFtZTcwMzM0NDcxMQ@@._V1_SX300.jpg,Sony Pictures Home Entertainment,R,"{'Source': 'Internet Movie Database', 'Value': '6.6/10'}",5-Feb-92,TRUE,118 min,Mississippi Masala,movie,,Sooni Taraporevala,1991,tt0102456,6.6,"4,405",,7308786
543,0,,,,USA,,Frederick Wiseman,Documentary,English,77,"Following the 2016 presidential election, Frederick Wiseman's documentary dissects small-town America to understand how its values impact and influence the political landscape of the nation.",https://m.media-amazon.com/images/M/MV5BMTU0MTQ0NTI2Ml5BMl5BanBnXkFtZTgwNjAzMjE1NjM@._V1_SX300.jpg,Zipporah Films,Not Rated,"{'Source': 'Internet Movie Database', 'Value': '6.9/10'}",26-Oct-18,TRUE,143 min,"Monrovia, Indiana",movie,,,2018,tt8749146,6.9,278,,
546,0,"Scott McKenzie, Denny Doherty, Cass Elliot, The Mamas and the Papas",2 nominations.,,USA,11-Apr-06,D.A. Pennebaker,"Documentary, History, Music",English,77,A film about the greatest pre-Woodstock rock music festival.,https://m.media-amazon.com/images/M/MV5BN2E3ZWM3ODEtYmUzNC00MzE1LWE5ZDgtYjg2NDAwODczOWZkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Criterion Collection,Not Rated,"{'Source': 'Internet Movie Database', 'Value': '8.1/10'}",23-Apr-69,TRUE,78 min,Monterey Pop,movie,,,1968,tt0064689,8.1,"3,282",,
549,0,"Graham Chapman, John Cleese, Eric Idle, Terry Gilliam",2 wins & 2 nominations.,,UK,7-Sep-99,"Terry Gilliam, Terry Jones","Adventure, Comedy, Fantasy","English, French, Latin",93,"King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles.",https://m.media-amazon.com/images/M/MV5BN2IyNTE4YzUtZWU0Mi00MGIwLTgyMmQtMzQ4YzQxYWNlYWE2XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,Almi Cinema 5,PG,"{'Source': 'Internet Movie Database', 'Value': '8.2/10'}",25-May-75,TRUE,91 min,Monty Python and the Holy Grail,movie,,"Graham Chapman, John Cleese, Eric Idle, Terry Gilliam, Terry Jones, Michael Palin",1975,tt0071853,8.2,"467,692",,
552,0,"Mahershala Ali, Shariff Earp, Duan Sanderson, Alex R. Hibbert",Won 3 Oscars. Another 220 wins & 270 nominations.,"$27,850,910 ",USA,28-Feb-17,Barry Jenkins,Drama,English,99,"A young African-American man grapples with his identity and sexuality while experiencing the everyday struggles of childhood, adolescence, and burgeoning adulthood.",https://m.media-amazon.com/images/M/MV5BNzQxNTIyODAxMV5BMl5BanBnXkFtZTgwNzQyMDA3OTE@._V1_SX300.jpg,A24 Films,R,"{'Source': 'Internet Movie Database', 'Value': '7.4/10'}",18-Nov-16,TRUE,111 min,Moonlight,movie,http://moonlight.movie/,"Barry Jenkins (screenplay by), Tarell Alvin McCraney (story by)",2016,tt4975722,7.4,"233,956",,11666
555,0,"Markees Christmas, Craig Robinson, Carla Juri, Patrick Güldenberg",3 wins & 9 nominations.,"$88,932 ","Germany, USA",,Chad Hartigan,"Comedy, Drama, Romance","German, English",75,The romantic and coming-of-age misadventures of a 13-year-old American living in Germany.,https://m.media-amazon.com/images/M/MV5BNDgyMzU5MTc2Ml5BMl5BanBnXkFtZTgwMTYwNzcxOTE@._V1_SX300.jpg,A24 and DIRECTV,R,"{'Source': 'Internet Movie Database', 'Value': '6.2/10'}",19-Aug-16,TRUE,91 min,Morris from America,movie,http://morrisfromamerica-movie.com/,Chad Hartigan,2016,tt3652862,6.2,"4,714",,91151
558,0,"Christopher Lambert, Robin Shou, Linden Ashby, Cary-Hiroyuki Tagawa",1 win & 3 nominations.,,USA,26-Aug-97,Paul W.S. Anderson,"Action, Adventure, Fantasy, Sci-Fi, Thriller",English,58,Three unknowing martial artists are summoned to a mysterious island to compete in a tournament whose outcome will decide the fate of the world.,https://m.media-amazon.com/images/M/MV5BNjY5NTEzZGItMGY3My00NzE4LThkYTUtYjJkNzk3MDBiMWE3XkEyXkFqcGdeQXVyNzg5MDE1MDk@._V1_SX300.jpg,New Line Home Entertainment,PG-13,"{'Source': 'Internet Movie Database', 'Value': '5.8/10'}",18-Aug-95,TRUE,101 min,Mortal Kombat,movie,,"Ed Boon (video games), John Tobias (video games), Kevin Droney",1995,tt0113855,5.8,"94,776",,
561,0,"Günter Reich, Louis Devos, Eva Csapo, Roger Lucas",,,"West Germany, Austria, France, Italy",,"Danièle Huillet, Jean-Marie Straub","Music, Drama",German,,"In expressive, melodic tones, the fraternal pair debate God's true message and intent for His creations, a conflict that leads their followers - in extravagantly choreographed song and dance - towards chaos and sin.",https://m.media-amazon.com/images/M/MV5BYjc4YThjMDUtMjgyMC00NzY1LTgxMTYtMDhjMDEyNDVjZWQxXkEyXkFqcGdeQXVyNjU4Njk1NjA@._V1_SX300.jpg,,NOT RATED,"{'Source': 'Internet Movie Database', 'Value': '7.2/10'}",5-Oct-75,TRUE,107 min,Moses and Aaron,movie,,Arnold Schönberg (libretto),1975,tt0071857,7.2,213,,
562,0,"Ohad Naharin, Tzofia Naharin, Olivia Ancona, Avi Belleli",3 wins & 11 nominations.,"$173,994 ","Israel, Sweden, Germany, Netherlands",3-Oct-17,Tomer Heymann,"Documentary, Biography","Hebrew, English",71,"Mr. Gaga tells the story of Ohad Naharin, renowned choreographer and artistic director of the Batsheva Dance Company, an artistic genius who redefined the language of modern dance.",https://m.media-amazon.com/images/M/MV5BMGQ5ZmJhNmUtNDIyZi00MjM1LWI4OWEtNTE1ODVkMGUyYThkL2ltYWdlXkEyXkFqcGdeQXVyMTc0MjQzNTE@._V1_SX300.jpg,Heyman Brothers Films,,"{'Source': 'Internet Movie Database', 'Value': '7.6/10'}",1-Feb-17,TRUE,100 min,Mr. Gaga,movie,http://www.mrgagathefilm.com/,Tomer Heymann,2015,tt3412684,7.6,701,,173994
565,0,"Divine, David Lochary, Mary Vivian Pearce, Mink Stole",,"$25,038 ",USA,21-Mar-17,John Waters,"Comedy, Crime, Horror",English,,"Lady Divine becomes enraged when her boyfriend cheats on her, and descends into a life of murder and mayhem.",https://m.media-amazon.com/images/M/MV5BYTQ3NTM0NTQtMTY4ZS00ODE3LWFlN2MtOWRmY2FlMTY4ZDk5XkEyXkFqcGdeQXVyNTM0NTU5Mg@@._V1_SX300.jpg,Cinema Group,Not Rated,"{'Source': 'Internet Movie Database', 'Value': '6.9/10'}",10-Apr-70,TRUE,91 min,Multiple Maniacs,movie,,John Waters,1970,tt0067454,6.9,"2,287",,33036
567,0,"Rachel Weisz, Sam Claflin, Holliday Grainger, Iain Glen",1 win & 4 nominations.,"$2,711,003 ","UK, USA",29-Aug-17,Roger Michell,"Drama, Mystery, Romance","English, Italian",63,"A young Englishman plots revenge against his late cousin's mysterious, beautiful wife, believing her responsible for his death. But his feelings become complicated as he finds himself falling under the beguiling spell of her charms.",https://m.media-amazon.com/images/M/MV5BMzY0YTFlNjMtNDk5MS00MmIxLWJkNjYtZWQwYzk5NjZkZTc1XkEyXkFqcGdeQXVyNDcxNzU3MTE@._V1_SX300.jpg,Fox Searchlight Pictures,PG-13,"{'Source': 'Internet Movie Database', 'Value': '6.0/10'}",9-Jun-17,TRUE,106 min,My Cousin Rachel,movie,http://www.foxsearchlight.com/mycousinrachel/,"Roger Michell (written for the screen by), Daphne Du Maurier (based on the novel by)",2017,tt4411596,6,"15,916",,2716368
570,0,"Noriko Hidaka, Chika Sakamoto, Shigesato Itoi, Sumi Shimamoto",5 wins & 2 nominations.,,Japan,7-Mar-06,Hayao Miyazaki,"Animation, Family, Fantasy",Japanese,86,"When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby.",https://m.media-amazon.com/images/M/MV5BNTdiOTQ0YmUtOGE3YS00NDg5LWI3YTEtNDAxZmE0MzRmZWM5L2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,Tokuma Shoten,G,"{'Source': 'Internet Movie Database', 'Value': '8.2/10'}",13-Jul-90,TRUE,86 min,My Neighbor Totoro,movie,,Hayao Miyazaki,1988,tt0096283,8.2,"243,042",,
573,0,"Andrea Riseborough, Steve Buscemi, Ann Dowd, John Leguizamo",1 nomination.,,USA,,Christina Choe,"Drama, Mystery",English,67,"Nancy becomes increasingly convinced she was kidnapped as a child. When she meets a couple whose daughter went missing thirty years ago, reasonable doubts give way to willful belief.",https://m.media-amazon.com/images/M/MV5BMjExMTkzODgyNF5BMl5BanBnXkFtZTgwODc5NTM0NTM@._V1_SX300.jpg,Samuel Goldwyn Films,Not Rated,"{'Source': 'Internet Movie Database', 'Value': '6.2/10'}",16-Aug-18,TRUE,85 min,Nancy,movie,https://www.nancy.movie/,Christina Choe,2018,tt6509058,6.2,"1,959",,
576,0,"Imelda Staunton, Tracie Bennett, Philip Quast, Di Botcher",,,UK,,"Dominic Cooke, Tim Van Someren",Musical,English,,"The former Weismann's Follies girls return to their old theatre one last time. At the core of the story are two married couples on the brink of collapse. As the night goes on, egos are unleashed, lies are exposed, and secrets are revealed.",https://m.media-amazon.com/images/M/MV5BZTNlZGYwOWUtMzNmNC00ZWQ2LTllMzEtZmQ0NTI3MGQ4YWFhXkEyXkFqcGdeQXVyODI0MTc3NzY@._V1_SX300.jpg,,,"{'Source': 'Internet Movie Database', 'Value': '8.2/10'}",16-Nov-17,TRUE,152 min,National Theatre Live: Follies,movie,,James Goldman (book),2017,tt7122350,8.2,25,,
577,0,"Rory Kinnear, Rosalie Craig, Haydn Gwynne, Sarah Amankwah",,,UK,,Rufus Norris,,English,,"Rory Kinnear is Mack the Knife in a new version of this landmark twentieth-century musical, broadcast live from the stage of the National Theatre. Bertolt Brecht and Kurt Weill's classic ...",https://m.media-amazon.com/images/M/MV5BNjI1NTJlZjgtNjgyMi00NWM2LWI4NGYtYzQ5MmY4ZDBlZDU1XkEyXkFqcGdeQXVyMzEzNjI0ODQ@._V1_SX300.jpg,,,"{'Source': 'Internet Movie Database', 'Value': '8.2/10'}",22-Sep-16,TRUE,,National Theatre Live: The Threepenny Opera,movie,,,2016,tt6846238,8.2,37,,
578,0,"Billie Piper, John Macmillan, Brendan Cowell, Maureen Beattie",,,UK,,,,English,,"The extraordinary Billie Piper plays Her, a woman driven to the unthinkable by her desperate desire to have a child. Simon Stone creates a radical new production of Lorca's achingly powerful masterpiece.",https://m.media-amazon.com/images/M/MV5BZTE1ZGU5NjYtMDgwNy00NjIzLTg3ZmMtNTJkYWJmZTQzODkzXkEyXkFqcGdeQXVyNTA5MDAwNDQ@._V1_SX300.jpg,BY Experience,,"{'Source': 'Internet Movie Database', 'Value': '8.5/10'}",31-Aug-17,TRUE,,National Theatre Live: Yerma,movie,,Federico García Lorca,2017,tt6847880,8.5,76,,
579,0,"Sumi Shimamoto, Mahito Tsujimura, Hisako Kyôda, Gorô Naya",3 wins & 1 nomination.,,"Japan, USA",22-Feb-05,Hayao Miyazaki,"Animation, Adventure, Fantasy, Sci-Fi","Japanese, English",86,Warrior and pacifist Princess Nausicaä desperately struggles to prevent two warring nations from destroying themselves and their dying planet.,https://m.media-amazon.com/images/M/MV5BODJiNmUzYmQtZTNhNS00NjY0LThmYjMtOTliOTM1NTdkYzY1XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,Starmaker Entertainment,PG,"{'Source': 'Internet Movie Database', 'Value': '8.1/10'}",25-Nov-87,TRUE,117 min,Nausicaä of the Valley of the Wind,movie,,"Hayao Miyazaki (based on the manga by), Hayao Miyazaki (screenplay by), Cindy Davis Hewitt (english language adaptation), Donald H. Hewitt (english language adaptation)",1984,tt0087544,8.1,"130,384",,147423
582,0,"Duane Jones, Judith O'Dea, Karl Hardman, Marilyn Eastman",2 wins & 1 nomination.,,USA,12-Apr-05,George A. Romero,Horror,English,89,"A ragtag group of Pennsylvanians barricade themselves in an old farmhouse to remain safe from a bloodthirsty, flesh-eating breed of monsters who are ravaging the East Coast of the United States.",https://m.media-amazon.com/images/M/MV5BMjRjZjE3OGUtYzIyYy00NGRkLTliYTUtYmI1ZjQ3YmZjYTZiXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Continental Distributing Inc.,Not Rated,"{'Source': 'Internet Movie Database', 'Value': '7.9/10'}",4-Oct-68,TRUE,96 min,Night of the Living Dead,movie,http://www.openingnightofthelivingdead.com/,"John A. Russo (screenplay), George A. Romero (screenplay)",1968,tt0063350,7.9,"106,369",,
585,0,"Glória Pires, Claudio Jaborandy, Flavio Bauraqui, Simone Mazzer",4 wins & 6 nominations.,,Brazil,,Roberto Berliner,"Biography, Drama, History",Portuguese,,"Based on the true story of Dr. Nise da Silveira, a psychiatrist in Brazil who treated her patients with art instead of electroshock therapy.",https://m.media-amazon.com/images/M/MV5BMTcwNDY1NjU1OF5BMl5BanBnXkFtZTgwNTI0NTI4NzE@._V1_SX300.jpg,,Not Rated,"{'Source': 'Internet Movie Database', 'Value': '7.7/10'}",28-Apr-17,TRUE,106 min,Nise: The Heart of Madness,movie,,"Flávia Castro (screenplay), Mauricio Lissovski (screenplay), Maria Camargo (screenplay), Chris Alcazar (screenplay), Patrícia Andrade (final screenplay), Leonardo Rocha (final screenplay), Roberto Berliner (final screenplay)",2015,tt2168180,7.7,"1,746",,
586,0,"Branko Djuric, Rene Bitorajac, Filip Sovagovic, Georges Siatidis",Won 1 Oscar. Another 27 wins & 20 nominations.,"$948,054 ","France, Bosnia and Herzegovina, Italy, Belgium, UK, Slovenia",9-Apr-02,Danis Tanovic,"Drama, War","Bosnian, French, English, Serbian",84,"Bosnia and Herzegovina during 1993 at the time of the heaviest fighting between the two warring sides. Two soldiers from opposing sides in the conflict, Nino and Ciki, become trapped in no man's land, whilst a third soldier becomes a living booby trap.",https://m.media-amazon.com/images/M/MV5BMGFkNjNmZWMtNDdiOS00ZWM3LWE1ZTMtZDU3MGQyMzIyNzZhXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,United Artists Pictures,R,"{'Source': 'Internet Movie Database', 'Value': '7.9/10'}",19-Sep-01,TRUE,98 min,No Man's Land,movie,http://www.unitedartists.com/nomansland,Danis Tanovic,2001,tt0283509,7.9,"42,393",,1012153
